Id,Url,Brand,Model,Region,Year,Engine,EngineVolume,Power,Transmission,Drive,Body,Color,Mileage,Wheel,Generation,Complectation,IsSold,Price
5961,https://spb.drom.ru/audi/q7/46301918.html,Audi,Q7,Санкт-Петербург,2016,дизель,3.0,249,АКПП,4WD,,синий,183730,левый,2 поколение,,0,3255000
5990,https://yaroslavl.drom.ru/audi/q5/48949002.html,Audi,Q5,Ярославль,2019,дизель,2.0,190,автомат,4WD,,белый,79000,левый,,,0,3530000
5993,https://abakan.drom.ru/audi/a4/48089849.html,Audi,A4,Абакан,2017,дизель,2.0,122,робот,передний,универсал,серый,206754,левый,5 поколение,2.0 35 TDI S tronic Design,0,1550000
6020,https://moscow.drom.ru/audi/a6/48613306.html,Audi,A6,Москва,2018,дизель,2.0,190,автомат,4WD,универсал,черный,115000,левый,,,0,2670000
6045,https://moscow.drom.ru/audi/a3/46931184.html,Audi,A3,Москва,2018,бензин,1.4,150,робот,передний,седан,белый,132579,левый,"3 поколение, рестайлинг",,0,1405000
6061,https://moscow.drom.ru/audi/a3/47575314.html,Audi,A3,Москва,2018,бензин,1.4,150,робот,передний,седан,белый,124380,левый,"3 поколение, рестайлинг",,0,1195000
6112,https://nakhodka.drom.ru/audi/tt/47890513.html,Audi,TT,Находка,2015,бензин,2.0,230,автомат,4WD,открытый,желтый,34200,правый,,,0,2990000
6113,https://chita.drom.ru/audi/a4/48755924.html,Audi,A4,Чита,2016,бензин,1.4,150,робот,передний,седан,белый,93000,левый,5 поколение,1.4 35 TFSI S tronic,0,1990000
6114,https://spb.drom.ru/audi/q5/48911723.html,Audi,Q5,Санкт-Петербург,2019,дизель,2.0,190,автомат,4WD,,серый,74008,левый,,,0,3300000
6119,https://moscow.drom.ru/audi/q3/46550045.html,Audi,Q3,Москва,2017,бензин,1.4,,,передний,,черный,120458,левый,,,0,1290000
6122,https://ussuriisk.drom.ru/audi/a7/47534457.html,Audi,A7,Уссурийск,2018,бензин,3.0,340,автомат,4WD,,черный,24000,правый,,,0,3950000
6123,https://himki.drom.ru/audi/q7/48908606.html,Audi,Q7,Химки,2018,бензин,3.0,333,АКПП,4WD,,черный,77712,левый,2 поколение,,0,3575000
6125,https://samara.drom.ru/audi/q5/48573156.html,Audi,Q5,Самара,2019,бензин,2.0,249,робот,4WD,,,84500,левый,2 поколение,,0,3250000
6127,https://samara.drom.ru/audi/q7/48568180.html,Audi,Q7,Самара,2019,дизель,3.0,249,АКПП,4WD,,белый,67000,левый,2 поколение,3.0 45 TDI quattro tiptronic Sport,0,5600000
6128,https://voronezh.drom.ru/audi/a3/48568111.html,Audi,A3,Воронеж,2016,бензин,1.4,,автомат,передний,седан,белый,2875,левый,,,0,2074000
6130,https://surgut.drom.ru/audi/q5/48370977.html,Audi,Q5,Сургут,2017,бензин,2.0,249,робот,4WD,,синий,77000,левый,2 поколение,2.0 45 TFSI quattro S tronic,0,3300000
6131,https://kemerovo.drom.ru/audi/q5/48733257.html,Audi,Q5,Кемерово,2017,бензин,2.0,249,робот,4WD,,белый,73000,левый,2 поколение,2.0 45 TFSI quattro S tronic Design,1,2950000
6132,https://irkutsk.drom.ru/audi/q7/48919323.html,Audi,Q7,Иркутск,2016,бензин,3.0,333,АКПП,4WD,,синий,86000,левый,2 поколение,3.0 55 TFSI quattro tiptronic Sport,0,4900000
6135,https://krasnoyarsk.drom.ru/audi/a4/47904736.html,Audi,A4,Красноярск,2017,дизель,2.0,190,робот,4WD,седан,белый,57462,левый,5 поколение,2.0 40 TDI quattro S tronic Sport,0,2900000
6137,https://moscow.drom.ru/audi/a6/48917978.html,Audi,A6,Москва,2018,бензин,3.0,340,автомат,4WD,седан,белый,127780,левый,,,0,3490000
6138,https://moscow.drom.ru/audi/a8/48583697.html,Audi,A8,Москва,2018,бензин,3.0,340,автомат,4WD,,черный,129282,левый,,,0,4847000
6139,https://moscow.drom.ru/audi/a6/48917931.html,Audi,A6,Москва,2015,бензин,1.8,190,робот,передний,седан,синий,144819,левый,"4 поколение, рестайлинг",,0,1444000
